trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
560,rule1,否,做多,2025-05-22 04:44,2498.99,2025-05-22 07:29,2557.89,10,2.357,330.00,3.3000,1234.6848,否,否,2597.92,2486.25,,2500.81,2511.60,2498.47,2508.29,2508.29,2509.79,2496.67,2498.99
561,rule1,否,做多,2025-05-22 04:59,2508.83,2025-05-22 07:29,2567.97,9,2.357,330.00,5.2800,1239.9648,否,否,2597.92,2498.07,,2508.29,2509.79,2496.67,2498.99,2498.99,2508.83,2486.25,2508.83
562,rule1,否,做多,2025-05-22 05:44,2508.91,2025-05-22 07:29,2568.05,6,2.357,330.00,13.2000,1253.1648,否,否,2597.92,2500.46,,2514.60,2515.14,2501.41,2501.42,2501.41,2511.19,2498.07,2508.91
563,rule1,否,做空,2025-05-22 12:59,2628.11,2025-05-23 19:59,2572.36,123,2.121,297.00,11.8800,1265.0448,是,是,2734.23,2551.00,,2622.15,2635.96,2614.11,2635.54,2635.54,2638.50,2625.45,2628.11
564,rule1,否,做多,2025-05-22 14:59,2609.30,2025-05-22 16:29,2670.80,5,2.357,330.00,5.2800,1270.3248,否,否,2681.27,2604.25,,2610.50,2618.90,2605.31,2618.41,2618.40,2623.45,2605.28,2609.30
565,rule1,否,做多,2025-05-22 15:14,2622.00,2025-05-22 17:29,2683.80,8,2.357,330.00,5.2800,1275.6048,否,否,2692.99,2612.77,,2618.40,2623.45,2605.28,2609.30,2609.30,2622.98,2604.25,2622.00
566,rule1,否,做空,2025-05-22 20:59,2657.70,2025-05-23 19:59,2601.32,91,2.121,297.00,2.9700,1278.5748,是,是,2734.23,2551.00,,2646.27,2658.12,2638.69,2652.02,2652.02,2661.58,2651.00,2657.70
567,rule1,否,做多,2025-05-22 21:29,2651.76,2025-05-23 10:29,2708.02,51,2.121,297.00,11.8800,1290.4548,是,是,2734.23,2623.14,,2657.70,2659.20,2641.50,2644.48,2644.48,2654.30,2639.69,2651.76
568,rule1,否,做多,2025-05-22 21:44,2643.31,2025-05-23 10:14,2699.39,49,2.121,297.00,2.9700,1293.4248,是,是,2703.71,2626.37,,2644.48,2654.30,2639.69,2651.76,2651.76,2660.45,2623.14,2643.31
569,rule1,否,做多,2025-05-23 10:59,2705.32,2025-05-23 19:59,2618.27,35,-3.218,-450.50,-7.2080,1286.2168,是,是,2730.85,2551.00,,2722.26,2732.76,2704.10,2712.69,2712.69,2720.46,2697.26,2705.32
570,rule1,否,做空,2025-05-23 21:59,2582.28,2025-05-24 07:14,2521.41,36,2.357,330.00,13.2000,1299.4168,否,否,2591.95,2520.79,,2559.75,2582.65,2557.12,2574.18,2574.18,2584.35,2564.49,2582.28
571,rule1,否,做多,2025-05-24 00:29,2568.96,2025-05-27 16:14,2623.46,350,2.121,297.00,4.7520,1304.1688,是,是,2639.00,2463.00,,2568.53,2575.95,2555.88,2560.31,2560.29,2573.00,2545.91,2568.96
572,rule1,否,做多,2025-05-24 05:44,2540.02,2025-05-26 15:14,2593.90,229,2.121,297.00,2.9700,1307.1388,是,是,2599.00,2463.00,,2539.42,2553.81,2539.42,2545.35,2545.35,2545.35,2535.72,2540.02
573,rule1,否,做空,2025-05-24 08:29,2525.89,2025-05-25 16:59,2472.31,129,2.121,297.00,4.7520,1311.8908,是,是,2575.85,2463.00,,2526.49,2542.84,2516.79,2537.71,2537.70,2544.27,2525.66,2525.89
574,rule1,否,做多,2025-05-24 10:14,2530.39,2025-05-26 14:59,2584.07,210,2.121,297.00,4.7520,1316.6428,是,是,2585.90,2463.00,,2532.70,2534.80,2523.13,2524.53,2524.53,2533.01,2518.62,2530.39
575,rule1,否,做空,2025-05-26 09:14,2560.01,2025-05-27 21:14,2584.72,143,-0.965,-135.15,-5.4060,1311.2368,是,是,2674.40,2509.46,,2556.00,2574.60,2553.43,2571.70,2571.71,2577.00,2558.60,2560.01
576,rule1,否,做多,2025-05-27 03:14,2538.99,2025-05-27 14:14,2592.85,43,2.121,297.00,2.9700,1314.2068,是,是,2608.47,2509.46,,2542.30,2542.30,2532.70,2534.89,2534.89,2540.81,2532.42,2538.99
577,rule1,否,做空,2025-05-27 05:14,2560.90,2025-05-27 21:14,2585.62,63,-0.965,-135.15,-2.1624,1312.0444,是,是,2674.40,2509.46,,2556.50,2567.95,2552.52,2566.52,2566.52,2568.20,2560.00,2560.90
578,rule1,否,做空,2025-05-27 16:29,2638.28,2025-05-29 10:44,2663.75,168,-0.965,-135.15,-5.4060,1306.6384,是,是,2788.00,2608.50,,2607.60,2639.00,2607.59,2626.00,2626.00,2643.19,2625.47,2638.28
579,rule1,否,做空,2025-05-27 18:44,2633.33,2025-05-29 10:44,2658.75,159,-0.965,-135.15,-1.3515,1305.2869,是,是,2788.00,2608.50,,2633.99,2641.47,2631.69,2640.82,2640.81,2642.28,2633.28,2633.33
