交易编号,方向,结果,K1柱体,突破力度比,K1开盘,K1最高,K1最低,K1收盘,K2开盘,K2最高,K2最低,K2收盘
1009,做多,止盈,12.400000000000091,-0.7403225806451427,2476.1,2477.94,2462.62,2463.7,2463.7,2468.76,2457.0,2467.11
18,做多,止盈,33.34999999999991,-0.7409295352323733,3636.41,3636.74,3599.0,3603.06,3603.07,3612.03,3592.06,3607.81
1742,做多,止盈,26.549999999999727,-0.7412429378531088,3442.37,3445.18,3415.71,3415.82,3415.82,3425.5,3415.29,3421.01
1338,做空,止损,28.029999999999745,-0.7417053157331485,4444.59,4480.66,4442.05,4472.62,4472.62,4487.1,4462.84,4467.1
1533,做空,止盈,19.279999999999745,-0.7427385892116366,3890.69,3915.28,3890.68,3909.97,3909.96,3916.46,3905.0,3906.0
1611,做多,止损,40.34999999999991,-0.7427509293680264,4100.91,4104.4,4057.03,4060.56,4060.56,4074.43,4055.29,4069.99
279,做空,止盈,89.66000000000031,-0.7432522864153429,2680.39,2772.11,2678.44,2770.05,2770.04,2795.45,2745.08,2764.99
1642,做空,止盈,18.039999999999964,-0.7433481152993282,3902.7,3925.0,3901.63,3920.74,3920.75,3930.88,3915.04,3922.3
1568,做多,止盈,21.99000000000069,-0.7435197817189564,4463.72,4466.76,4435.75,4441.73,4441.74,4450.41,4433.68,4439.64
869,做多,止盈,38.039999999999964,-0.7444794952681318,2635.34,2635.35,2587.67,2597.3,2597.31,2607.03,2577.48,2597.52
66,做多,止盈,22.659999999999854,-0.7444836716681377,3384.06,3384.06,3361.0,3361.4,3361.41,3367.19,3346.0,3366.8
305,做空,止盈,12.429999999999836,-0.746580852775569,2684.84,2697.27,2682.5,2697.27,2697.26,2705.4,2691.78,2693.51
1304,做多,止盈,25.019999999999982,-0.7474020783373234,3619.63,3623.31,3593.39,3594.61,3594.61,3604.61,3583.85,3597.0
15,做多,止盈,15.690000000000055,-0.7488846398980216,3463.38,3463.52,3439.94,3447.69,3447.69,3451.77,3428.99,3450.46
1285,做空,止盈,27.09999999999991,-0.7494464944649452,3486.84,3516.76,3485.93,3513.94,3513.94,3518.0,3506.24,3510.7
1560,做空,止损,27.460000000000036,-0.7501820830298739,4502.53,4531.94,4496.03,4529.99,4529.98,4541.29,4516.63,4522.2
1333,做空,止盈,18.950000000000728,-0.7503957783641008,4280.61,4304.0,4273.17,4299.56,4299.55,4311.0,4287.39,4302.56
232,做空,止盈,15.590000000000146,-0.7504810776138363,2778.91,2800.0,2778.9,2794.5,2794.49,2817.89,2790.6,2790.82
20,做空,止盈,19.41000000000031,-0.7506439979392031,3668.7,3689.49,3668.49,3688.11,3688.11,3698.04,3683.06,3684.84
34,做多,止损,16.93000000000029,-0.7507383343177684,3305.53,3308.94,3287.34,3288.6,3288.6,3296.23,3280.86,3296.2
