trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
256,rule1,否,做多,2025-07-25 00:59,3686.69,2025-07-26 10:44,3764.90,134,2.121,297.00,11.8800,587.1368,是,是,3767.13,3573.76,,3692.15,3699.48,3672.52,3673.26,3673.26,3692.24,3666.74,3686.69
257,rule1,否,做多,2025-07-27 23:29,3805.32,2025-07-28 10:44,3886.05,44,2.121,297.00,4.7520,591.8888,是,否,3907.40,3803.86,,3809.44,3812.40,3795.72,3798.01,3798.01,3810.50,3793.48,3805.32
258,rule1,否,做空,2025-07-28 12:14,3872.39,2025-07-28 22:29,3781.11,40,2.357,330.00,3.3000,595.1888,是,是,3941.00,3776.26,,3868.65,3879.82,3868.30,3879.81,3879.81,3890.00,3872.39,3872.39
259,rule1,否,做多,2025-07-29 01:29,3802.88,2025-07-29 16:14,3883.56,58,2.121,297.00,4.7520,599.9408,是,是,3886.44,3731.21,,3806.51,3809.99,3793.58,3793.59,3793.58,3803.35,3778.79,3802.88
260,rule1,否,做多,2025-07-29 21:44,3853.51,2025-08-01 08:59,3816.31,236,-0.965,-135.15,-2.1624,597.7784,是,是,3878.67,3616.66,,3850.57,3874.54,3849.35,3865.21,3865.22,3868.20,3846.97,3853.51
261,rule1,否,做多,2025-08-01 08:59,3682.10,2025-08-02 04:14,3646.55,76,-0.965,-135.15,-5.4060,592.3724,是,是,3724.02,3500.00,,3690.51,3692.25,3669.25,3669.26,3669.25,3687.37,3616.66,3682.10
262,rule1,否,做多,2025-08-02 04:29,3524.19,2025-08-04 21:44,3598.95,260,2.121,297.00,4.7520,597.1244,是,是,3606.71,3354.28,,3518.42,3532.67,3500.00,3504.73,3504.73,3524.20,3491.00,3524.19
263,rule1,否,做多,2025-08-05 05:59,3710.02,2025-08-07 18:14,3788.73,240,2.121,297.00,2.9700,600.0944,是,是,3799.98,3546.00,,3713.45,3726.45,3707.48,3722.50,3722.50,3723.72,3705.50,3710.02
264,rule1,否,做空,2025-08-07 18:59,3821.48,2025-08-08 21:59,3858.37,107,-0.965,-135.15,-2.1624,597.9320,是,是,4012.00,3780.54,,3799.44,3824.06,3796.50,3812.15,3812.15,3826.50,3808.74,3821.48
265,rule1,否,做空,2025-08-09 03:14,4048.88,2025-08-10 02:59,4087.97,94,-0.965,-135.15,-1.3515,596.5805,是,是,4254.86,4006.63,,4045.56,4056.73,4034.30,4056.72,4056.73,4065.86,4042.28,4048.88
266,rule1,否,做多,2025-08-10 23:29,4218.17,2025-08-11 09:44,4317.60,40,2.357,330.00,3.3000,599.8805,是,是,4322.20,4186.16,,4219.37,4230.52,4212.02,4230.51,4230.51,4237.43,4211.19,4218.17
267,rule1,否,做多,2025-08-12 02:59,4295.20,2025-08-12 20:44,4386.32,70,2.121,297.00,4.7520,604.6325,是,是,4416.08,4190.00,,4292.28,4308.24,4278.63,4279.13,4279.13,4306.62,4275.01,4295.20
268,rule1,否,做多,2025-08-13 00:44,4447.13,2025-08-13 04:29,4551.96,14,2.357,330.00,3.3000,607.9325,否,否,4628.31,4446.51,,4467.09,4469.61,4447.11,4456.33,4456.33,4459.42,4440.38,4447.13
269,rule1,否,做多,2025-08-13 08:14,4607.51,2025-08-13 18:59,4705.26,42,2.121,297.00,4.7520,612.6845,是,是,4715.75,4564.33,,4608.61,4616.45,4584.18,4590.52,4590.52,4608.09,4584.01,4607.51
